ts,vault_id,count,mean_s194,stddev_s194
1680134400000,1003,560,18.360714,2.3026133
1680134400000,1002,557,22.637342,2.5283823
1680134400000,1015,538,26.165428,4.076471
1680134400000,1012,567,30.75485,7.6450033
1680134400000,1004,545,19.702753,2.6791227
1680134400000,1014,548,26.083942,5.4932175
1680134400000,1019,565,27.762833,5.0889816
1680134400000,1008,577,29.589254,4.140022
1680134400000,1013,540,26.687037,4.433064
1680134400000,1001,548,18.248175,1.8680214
1680134400000,1009,533,27.748592,3.3819716
1680134400000,1016,537,26.389198,4.6304107
1680134400000,1010,521,22.051823,2.788653
1680134400000,1011,526,26.256655,6.614357
1680134400000,1005,547,21.259598,2.7388253
1680134400000,1006,556,22.791367,3.9337587
1680134400000,1000,564,22.14539,2.3745391
1680134400000,1007,554,25.743683,4.6256237
1680134400000,1020,573,26.516579,5.8582873
1680134400000,1017,556,28.197842,5.378855
1680134400000,1018,544,27.325367,3.8197942
1680393600000,1005,1656,22.039856,2.655021
1680393600000,1010,1660,23.072289,2.889462
1680393600000,1015,1642,25.588306,4.343762
1680393600000,1004,1655,20.621752,2.696447
1680393600000,1003,1698,19.336279,2.2419841
1680393600000,1001,1612,19.313896,1.9473798
1680393600000,1019,1681,27.440214,5.450346
1680393600000,1000,1645,23.094833,2.3544831
1680393600000,1006,1706,22.999414,3.325538
1680393600000,1018,1714,27.22112,4.3136373
1680393600000,1012,1666,30.111645,7.6772075
1680393600000,1007,1677,25.841383,4.3030553
1680393600000,1016,1638,26.576923,5.268482
1680393600000,1017,1610,27.96584,5.4559283
1680393600000,1011,1672,26.621412,6.12672
1680393600000,1013,1663,26.080578,4.8493357
1680393600000,1002,1683,23.595959,2.6403844
1680393600000,1008,1676,29.23568,4.3677807
1680393600000,1014,1641,25.756855,6.094122
1680393600000,1020,1614,26.610905,5.354337
1680393600000,1009,1620,27.696913,3.4406955
1680652800000,1016,1624,27.35899,5.3833184
1680652800000,1011,1628,26.144962,6.695271
1680652800000,1014,1625,26.388308,5.997229
1680652800000,1017,1643,28.461351,5.620061
1680652800000,1004,1701,19.708406,2.789854
1680652800000,1012,1710,30.495321,6.385815
1680652800000,1018,1592,28.26005,4.298704
1680652800000,1006,1642,23.0676,3.9899
1680652800000,1009,1652,27.466707,3.1623895
1680652800000,1015,1664,26.467548,4.1723857
1680652800000,1007,1659,26.477396,4.8568354
1680652800000,1008,1641,30.389397,3.993152
1680652800000,1010,1641,22.023157,2.7421286
1680652800000,1019,1663,28.167768,5.596053
1680652800000,1005,1666,21.2497,2.8084211
1680652800000,1002,1699,22.548557,2.550346
1680652800000,1003,1662,18.32852,2.317026
1680652800000,1020,1667,26.364128,5.408783
1680652800000,1013,1630,26.865644,4.6125712
1680652800000,1000,1666,22.096039,2.432601
1680652800000,1001,1623,18.25385,1.784339
1680912000000,1004,1636,19.68582,2.7478054
1680912000000,1013,1629,26.958256,4.585934
1680912000000,1009,1636,27.243277,3.079546
1680912000000,1020,1594,26.152447,5.645862
1680912000000,1019,1642,27.88855,5.208012
1680912000000,1011,1647,26.35762,6.8294497
1680912000000,1017,1664,28.433292,5.5387945
1680912000000,1008,1664,29.424278,3.9417682
1680912000000,1012,1687,30.54416,6.4090214
1680912000000,1007,1618,25.70519,4.516032
1680912000000,1016,1658,27.272015,5.214941
1680912000000,1010,1649,21.968466,2.7697535
1680912000000,1018,1622,28.04439,4.131083
1680912000000,1015,1637,26.375687,4.0013704
1680912000000,1006,1668,22.754797,3.7290351
1680912000000,1003,1683,18.244207,2.2317631
1680912000000,1005,1670,21.14491,2.6845012
1680912000000,1014,1653,26.598911,5.976516
1680912000000,1001,1664,18.161058,1.8069105
1680912000000,1002,1695,22.614159,2.5587678
1680912000000,1000,1663,22.017439,2.3813384
1681171200000,1010,1672,22.138159,2.788721
1681171200000,1013,1082,26.816082,4.6920314
1681171200000,1015,1129,26.248007,3.992526
1681171200000,1003,1090,18.284403,2.2572687
1681171200000,1007,1690,25.711834,4.4940896
1681171200000,1000,1078,22.02783,2.4341352
1681171200000,1020,1684,26.068884,5.5455365
1681171200000,1006,1109,22.837692,3.6269684
1681171200000,1012,1125,30.394667,6.214304
1681171200000,1004,1121,19.73952,2.7239873
1681171200000,1008,1097,29.079308,4.0193357
1681171200000,1011,1099,26.313011,6.731854
1681171200000,1014,1717,26.434479,5.803413
1681171200000,1018,1152,27.92882,4.168142
1681171200000,1002,1657,22.521423,2.5720153
1681171200000,1005,1115,21.313004,2.7401288
1681171200000,1019,1090,27.769724,5.208955
1681171200000,1017,1110,28.136936,5.359944
1681171200000,1009,1078,27.026901,2.9163063
1681171200000,1001,1106,18.228752,1.8293186
1681171200000,1016,1710,27.538012,5.3855467
1681430400000,1016,1671,27.281868,5.3365626
1681430400000,1006,1091,22.897343,3.8212228
1681430400000,1010,1686,21.938316,2.7671158
1681430400000,1007,1654,25.6844,4.6177497
1681430400000,1020,1647,25.881603,5.31234
1681430400000,1002,1664,22.486177,2.639803
1681430400000,1005,1080,21.167593,2.7275457
1681430400000,1011,1117,26.235453,6.8658376
1681430400000,1018,1111,27.80828,4.135657
1681430400000,1009,1107,27.148148,2.9151976
1681430400000,1004,1099,19.78162,2.7682045
1681430400000,1012,1057,30.790918,6.387428
1681430400000,1019,1066,28.24953,5.5917745
1681430400000,1001,1125,18.210667,1.8376487
1681430400000,1015,1088,26.220589,4.056252
1681430400000,1008,1136,29.114437,3.9827006
1681430400000,1003,1073,18.321527,2.3285723
1681430400000,1017,1042,28.289827,5.5796857
1681430400000,1013,1105,27.153847,5.1359653
1681430400000,1000,1107,22.061428,2.4557185
1681430400000,1014,1620,26.504938,5.934985
1681689600000,1010,1647,21.914997,2.7703104
1681689600000,1011,1662,25.840553,6.4852304
1681689600000,1019,1627,27.886908,5.2519317
1681689600000,1012,1680,30.735119,6.26855
